#5 (11.2,-17.4)                    
10 qid:201507111547110044 1:11.1957 2:17.4143 3:2.54281 4:0 5:0.809717 6:9.2429 7:8.95113 8:0.00114699 9:3 10:9.01869 11:25.7294 12:8.59533 13:8.31508 14:104.671 15:12.1957 16:12.1957 17:8.21709 18:86.7027 19:1.29727 20:0
#1 (8.2,-17.4)                    
8 qid:201507111547110044 1:8.19568 2:17.4143 3:2.1628 4:0 5:0.753072 6:8.7748 7:6.781 8:0.0036955 9:4.24264 10:9.01869 11:25.7294 12:8.35571 13:8.31508 14:84.3474 15:12.1957 16:12.1957 17:8.56847 18:109.148 19:21.1477 20:1
#6 (11.2,-14.4)                    
8 qid:201507111547110044 1:11.1957 2:14.4143 3:2.16278 4:0 5:1.1751 6:9.36622 7:3.781 8:0.000902675 9:0 10:9.01869 11:25.7294 12:11.5226 13:11.3151 14:100.89 15:12.1957 16:12.1957 17:5.22644 18:84.4711 19:3.5289 20:1
#2 (8.2,-14.4)                    
2 qid:201507111547110044 1:8.19568 2:14.4143 3:1.69983 4:1 5:1.05425 6:6.73136 7:3.781 8:0.0266624 9:3 10:9.01869 11:25.7294 12:11.345 13:11.3151 14:85.8399 15:12.1957 16:12.1957 17:5.76315 18:120.258 19:32.2584 20:1
#3 (8.2,-11.4)                    
2 qid:201507111547110044 1:8.19568 2:11.4143 3:2.60951 4:1 5:1.14131 6:5.62363 7:0.780998 8:0.0796578 9:4.24264 10:9.01869 11:25.7294 12:14.3387 13:14.3151 14:86.7095 15:12.1957 16:12.1957 17:3.31798 18:151.267 19:63.2673 20:2
#8 (11.2,-8.4)                    
2 qid:201507111547110044 1:11.1957 2:8.41429 3:2.08186 4:0 5:1.2028 6:8.85178 7:2.219 8:0.00190097 9:6 10:9.01869 11:25.7294 12:17.4514 13:17.3151 14:97.1661 15:12.1957 16:12.1957 17:0.95182 18:74.9642 19:162.964 20:3
#4 (8.2,-8.4)                    
1 qid:201507111547110044 1:8.19568 2:8.41429 3:1.16508 4:1 5:1.08506 6:5.99493 7:2.219 8:0.0564472 9:6.7082 10:9.01869 11:25.7294 12:17.3346 13:17.3151 14:87.2787 15:12.1957 16:12.1957 17:2.60847 18:148.296 19:123.704 20:2
#7 (11.2,-11.4)                    
1 qid:201507111547110044 1:11.1957 2:11.4143 3:1.23545 4:1 5:1.5348 6:8.60465 7:0.780998 8:0.00267665 9:3 10:9.01869 11:25.7294 12:14.4797 13:14.3151 14:98.6471 15:12.1957 16:12.1957 17:2.26071 18:73.1609 19:14.8391 20:3
