#87 (32.8,14.3)                    
20 qid:201507131703112605 1:32.7668 2:14.3394 3:2.60694 4:0 5:0.580602 6:16.0233 7:15.9137 8:1.20165e-09 9:1.41421 10:31.758 11:30.2306 12:15.9232 13:15.8912 14:93.6327 15:32.7668 16:32.7668 17:1.95021 18:16.8214 19:15.8214 20:1
#86 (32.8,13.3)                    
19 qid:201507131703112605 1:32.7668 2:13.3394 3:1.6078 4:0 5:0.81318 6:17.0169 7:16.9137 8:8.84681e-11 9:1 10:31.758 11:30.2306 12:16.9213 13:16.8912 14:93.4182 15:32.7668 16:32.7668 17:1.92363 18:15.0539 19:16.0539 20:1
#88 (32.8,15.3)                    
18 qid:201507131703112605 1:32.7668 2:15.3394 3:3.60656 4:0 5:0.353257 6:15.0306 7:14.9137 8:1.4151e-08 9:2.23607 10:31.758 11:30.2306 12:14.9253 13:14.8912 14:93.8759 15:32.7668 16:32.7668 17:2.43028 18:41.1407 19:40.1407 20:0
#75 (31.8,15.3)                    
17 qid:201507131703112605 1:31.7668 2:15.3394 3:3.71984 4:0 5:0.330567 6:14.9391 7:14.9137 8:1.76208e-08 9:2 10:31.758 11:30.2306 12:14.8912 13:14.8912 14:90.0342 15:32.7668 16:32.7668 17:1.77906 18:63.8609 19:62.8609 20:0
#91 (32.8,18.3)                    
16 qid:201507131703112605 1:32.7668 2:18.3394 3:6.6061 4:0 5:0.0315711 6:12.0597 7:11.9137 8:8.85177e-06 9:5.09902 10:31.758 11:30.2306 12:11.9339 13:11.8912 14:94.8496 15:32.7668 16:32.7668 17:4.92089 18:68.8695 19:67.8695 20:0
#78 (31.8,18.3)                    
15 qid:201507131703112605 1:31.7668 2:18.3394 3:6.66862 4:0 5:0.0299939 6:11.9455 7:11.9137 8:1.10222e-05 9:5 10:31.758 11:30.2306 12:11.8912 13:11.8912 14:90.0428 15:32.7668 16:32.7668 17:4.63399 18:80.5921 19:79.5921 20:0
#65 (30.8,18.3)                    
14 qid:201507131703112605 1:30.7668 2:18.3394 3:6.87753 4:0 5:0.0244337 6:11.9144 7:11.9137 8:1.16956e-05 9:5.09902 10:31.758 11:30.2306 12:11.9324 13:11.8912 14:85.2355 15:32.7668 16:32.7668 17:4.55331 18:93.1538 19:92.1538 20:0
#52 (29.8,18.3)                    
13 qid:201507131703112605 1:29.7668 2:18.3394 3:7.22014 4:0 5:0.0171104 6:11.9671 7:11.9137 8:1.05752e-05 9:5.38516 10:31.758 11:30.2306 12:12.0567 13:11.8912 14:80.4943 15:32.7668 16:32.7668 17:4.6895 18:105.424 19:104.424 20:0
#39 (28.8,18.3)                    
12 qid:201507131703112605 1:28.7668 2:18.3394 3:7.67856 4:0 5:0.010356 6:12.1025 7:11.9137 8:8.1483e-06 9:5.83095 10:31.758 11:30.2306 12:12.2616 13:11.8912 14:75.8807 15:32.7668 16:32.7668 17:5.02496 18:116.413 19:115.413 20:0
#26 (27.8,18.3)                    
11 qid:201507131703112605 1:27.7668 2:18.3394 3:8.23349 4:0 5:0.00557738 6:12.3179 7:11.9137 8:5.35006e-06 9:6.40312 10:31.758 11:30.2306 12:12.5431 13:11.8912 14:71.4464 15:32.7668 16:32.7668 17:5.52349 18:125.658 19:124.658 20:1
#13 (26.8,18.3)                    
10 qid:201507131703112605 1:26.7668 2:18.3394 3:8.8668 4:0 5:0.0033487 6:12.6091 7:11.9137 8:2.99344e-06 9:7.07107 10:31.758 11:30.2306 12:12.8962 13:11.8912 14:67.2306 15:32.7668 16:32.7668 17:6.14555 18:133.175 19:132.175 20:1
