,average_reward,cumulative_reward,kickable_percentages,time_steps,why
0,[-0.18922573721041014],[-18.922573721041015],0.0,100.0,OutOfTime
1,[-0.24174873907150093],[-23.933125168078593],0.0,99.0,OutOfTime
2,[-0.5373071037005593],[-53.193403266355375],0.0,99.0,OutOfTime
3,[-0.41737423370756027],[-41.320049137048464],0.0,99.0,OutOfTime
4,[-0.5329290150384429],[-52.75997248880585],0.0,99.0,OutOfTime
5,[-0.3116960938681397],[-30.857913292945828],0.0,99.0,OutOfTime
6,[-0.43057512277999604],[-42.62693715521961],0.0,99.0,OutOfTime
7,[-0.20894455513291363],[-20.68551095815845],0.0,99.0,OutOfTime
8,[-0.2602563909060615],[-25.76538269970009],0.0,99.0,OutOfTime
9,[-0.5478825540365961],[-54.24037284962302],0.0,99.0,OutOfTime
