ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-52, 0) (-52.5, 1.5) 0.81071
(-52, 0) (-52.5, 4.5) 0.923164
(-52, 0) (-52.5, 7.5) 0.625559
(-52, 1) (-52.5, 2.5) 0.818267
(-52, 1) (-52.5, 5.5) 0.799961
(-52, 2) (-52.5, 3) 0.0326621
(-52, 2) (-52.5, 3.5) 0.828066
(-52, 2) (-52.5, 6.5) 0.801374
(-52, 3) (-52.5, 4) 0.0824594
(-52, 3) (-52.5, 4.5) 0.841029
(-52, 3) (-52.5, 7.5) 0.798057
(-52, 10) (-52.5, 5.5) 0.797882
(-52, 10) (-52.5, 8.5) 0.841328
(-52, 10) (-52.5, 9) 0.0836607
(-52, 11) (-52.5, 6.5) 0.801374
(-52, 11) (-52.5, 9.5) 0.82829
(-52, 11) (-52.5, 10) 0.0334917
(-52, 12) (-52.5, 7.5) 0.800007
(-52, 13) (-52.5, 5.5) 0.625477
(-52, 13) (-52.5, 8.5) 0.923221
(-52, 14) (-52.5, 6.5) 0.62729
(-52, 14) (-52.5, 9.5) 0.920345
(-52, 15) (-52.5, 4) 0.157054
(-52, 15) (-52.5, 4.5) 0.858434
(-52, 16) (-52.5, 5) 0.163122
(-52, 16) (-52.5, 5.5) 0.859722
(-52, 17) (-52.5, 6) 0.16536
(-52, 17) (-52.5, 6.5) 0.860047
(-52, 18) (-52.5, 4) 0.729991
(-52, 19) (-52.5, 5) 0.731057
(-52, 20) (-52.5, 2.5) 0.416344
(-52, 20) (-52.5, 3) 0.914164
(-51, 0) (-52.5, 1.5) 0.689362
(-51, 0) (-52.5, 4) 0.902344
(-51, 0) (-52.5, 7) 0.908491
(-51, 0) (-52.5, 7.5) 0.396046
(-51, 0) (-52, 1) 0.138551
(-51, 0) (-52, 1.5) 0.848451
(-51, 0) (-51.5, 1) 0.189397
(-51, 0) (-51.5, 1.5) 0.864163
(-51, 1) (-52.5, 2.5) 0.769659
(-51, 1) (-52.5, 5) 0.91928
(-51, 1) (-52.5, 5.5) 0.541663
(-51, 1) (-52, 2) 0.249745
(-51, 1) (-52, 2.5) 0.876866
(-51, 1) (-52, 5.5) 0.718322
(-51, 1) (-51.5, 2) 0.225955
(-51, 1) (-51.5, 2.5) 0.869673
(-51, 2) (-52.5, 3) 0.19806
(-51, 2) (-52.5, 3.5) 0.851209
(-51, 2) (-52.5, 6.5) 0.561237
(-51, 2) (-52, 3) 0.378771
(-51, 2) (-52, 3.5) 0.906365
(-51, 2) (-52, 6.5) 0.679882
(-51, 2) (-51.5, 3) 0.265
(-51, 2) (-51.5, 3.5) 0.872514
(-51, 3) (-52.5, 4) 0.489937
(-51, 3) (-52.5, 7.5) 0.518392
(-51, 3) (-52, 4) 0.523222
(-51, 3) (-52, 7.5) 0.550414
(-51, 3) (-51.5, 4) 0.298719
(-51, 3) (-51.5, 4.5) 0.866346
(-51, 10) (-52.5, 5.5) 0.516135
(-51, 10) (-52.5, 9) 0.495768
(-51, 10) (-52, 5.5) 0.545734
(-51, 10) (-52, 9) 0.5262
(-51, 10) (-51.5, 5.5) 0.324602
(-51, 10) (-51.5, 6) 0.87203
(-51, 10) (-51.5, 8.5) 0.866026
(-51, 10) (-51.5, 9) 0.299201
(-51, 11) (-52.5, 6.5) 0.561237
(-51, 11) (-52.5, 9.5) 0.852802
(-51, 11) (-52.5, 10) 0.203778
(-51, 11) (-52, 6.5) 0.678549
(-51, 11) (-52, 9.5) 0.90695
(-51, 11) (-52, 10) 0.38153
(-51, 11) (-51.5, 6.5) 0.602661
(-51, 11) (-51.5, 9.5) 0.872514
(-51, 11) (-51.5, 10) 0.265772
(-51, 12) (-52.5, 7.5) 0.542313
(-51, 12) (-52.5, 8) 0.919585
(-51, 12) (-52, 7.5) 0.717931
(-51, 12) (-52, 10.5) 0.877451
(-51, 12) (-51.5, 7.5) 0.7046
(-51, 12) (-51.5, 10.5) 0.869767
(-51, 12) (-51.5, 11) 0.226722
(-51, 13) (-52.5, 5.5) 0.3951
(-51, 13) (-52.5, 6) 0.908357
(-51, 13) (-52.5, 9) 0.902705
(-51, 13) (-52, 5.5) 0.362008
(-51, 13) (-52, 6) 0.898805
(-51, 13) (-51.5, 6) 0.77729
(-51, 13) (-51.5, 8.5) 0.869836
(-51, 13) (-51.5, 11.5) 0.864283
(-51, 13) (-51.5, 12) 0.190088
(-51, 14) (-52.5, 6.5) 0.415973
(-51, 14) (-52.5, 7) 0.908843
(-51, 14) (-52.5, 10) 0.884149
(-51, 14) (-52, 6.5) 0.470337
(-51, 14) (-52, 7) 0.924169
(-51, 14) (-51.5, 6.5) 0.253089
(-51, 14) (-51.5, 7) 0.858186
(-51, 14) (-51.5, 9.5) 0.897929
(-51, 14) (-51.5, 12.5) 0.858146
(-51, 15) (-52.5, 4.5) 0.776052
(-51, 15) (-52, 4.5) 0.728094
(-51, 15) (-51.5, 10.5) 0.912074
(-51, 16) (-52.5, 5.5) 0.791215
(-51, 16) (-52, 5.5) 0.777119
(-51, 16) (-51.5, 11.5) 0.919649
(-51, 17) (-52.5, 6.5) 0.794963
(-51, 17) (-52, 6.5) 0.804356
(-51, 17) (-51.5, 12.5) 0.923776
(-51, 18) (-52.5, 4) 0.635019
(-51, 18) (-52, 4) 0.598775
(-51, 19) (-52.5, 5) 0.646663
(-51, 19) (-52, 5) 0.634978
(-51, 20) (-52.5, 2.5) 0.263051
(-51, 20) (-52.5, 3) 0.881941
(-51, 20) (-52, 2.5) 0.201251
(-51, 20) (-52, 3) 0.866463
(-50, 0) (-52.5, 1.5) 0.195157
(-50, 0) (-52.5, 2) 0.702538
(-50, 0) (-52.5, 2.5) 0.851214
(-50, 0) (-52.5, 3) 0.861616
(-50, 0) (-52.5, 3.5) 0.750433
(-50, 0) (-52.5, 4) 0.827907
(-50, 0) (-52.5, 7) 0.717039
(-50, 0) (-52, 1.5) 0.742059
(-50, 0) (-52, 4) 0.863134
(-50, 0) (-52, 7) 0.76668
(-50, 0) (-51.5, 1) 0.373695
(-50, 0) (-51.5, 1.5) 0.897539
(-50, 0) (-51, 1) 0.464698
(-50, 0) (-51, 1.5) 0.923608
(-50, 0) (-50.5, 1) 0.287087
(-50, 0) (-50.5, 1.5) 0.870689
(-50, 1) (-52.5, 2.5) 0.531603
(-50, 1) (-52.5, 3) 0.850172
(-50, 1) (-52.5, 4.5) 0.838419
(-50, 1) (-52.5, 5) 0.923366
(-50, 1) (-52.5, 8) 0.619256
(-50, 1) (-52, 2) 0.284319
(-50, 1) (-52, 2.5) 0.856123
(-50, 1) (-52, 5) 0.900468
(-50, 1) (-52, 8) 0.554992
(-50, 1) (-51.5, 2) 0.549011
(-50, 1) (-51, 2) 0.553608
(-50, 1) (-50.5, 2) 0.302983
(-50, 1) (-50.5, 2.5) 0.862489
(-50, 2) (-52.5, 3) 0.189124
(-50, 2) (-52.5, 3.5) 0.795617
(-50, 2) (-52.5, 5.5) 0.899324
(-50, 2) (-52.5, 6) 0.5836
(-50, 2) (-52, 3) 0.605166
(-50, 2) (-52, 6) 0.835563
(-50, 2) (-52, 6.5) 0.130669
(-50, 2) (-51.5, 3) 0.71285
(-50, 2) (-51.5, 6) 0.893523
(-50, 2) (-51.5, 6.5) 0.317343
