ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-52, 10) (-52.5, 5.5) 0.902628 0.797882
(-52, 10) (-52.5, 8.5) 0.780386 0.841328
(-52, 11) (-52.5, 6.5) 0.90145 0.801374
(-52, 11) (-52.5, 9.5) 0.779093 0.82829
(-52, 12) (-52.5, 7.5) 0.90037 0.800007
(-52, 13) (-52.5, 5.5) 1 0.625477
(-52, 13) (-52.5, 8.5) 0.899376 0.923221
(-52, 14) (-52.5, 6.5) 1 0.62729
(-52, 14) (-52.5, 9.5) 0.89846 0.920345
(-52, 15) (-52.5, 4) 1 0.157054
(-52, 15) (-52.5, 4.5) 1 0.858434
(-52, 16) (-52.5, 5) 1 0.163122
(-52, 16) (-52.5, 5.5) 1 0.859722
(-52, 17) (-52.5, 6) 1 0.16536
(-52, 17) (-52.5, 6.5) 1 0.860047
(-52, 18) (-52.5, 4) 1 0.729991
(-52, 19) (-52.5, 5) 1 0.731057
(-52, 20) (-52.5, 2.5) 1 0.416344
(-52, 20) (-52.5, 3) 1 0.914164
(-51, 10) (-52.5, 5.5) 0.716584 0.516135
(-51, 10) (-52.5, 6) 0.745729 1
(-51, 10) (-52.5, 6.5) 0.91309 1
(-51, 10) (-52.5, 7.5) 0.916662 1
(-51, 10) (-52.5, 8) 0.760259 1
(-51, 10) (-52.5, 8.5) 0.193965 1
(-51, 10) (-52, 5.5) 0.892141 0.545734
(-51, 10) (-52, 8.5) 0.677161 1
(-51, 10) (-51.5, 5.5) 1 0.324602
(-51, 10) (-51.5, 6) 1 0.87203
(-51, 10) (-51.5, 8.5) 0.818324 0.866026
(-51, 11) (-52.5, 6.5) 0.694742 0.561237
(-51, 11) (-52.5, 7) 0.734956 1
(-51, 11) (-52.5, 7.5) 0.907584 1
(-51, 11) (-52.5, 8.5) 0.9109 1
(-51, 11) (-52.5, 9) 0.748278 1
(-51, 11) (-52.5, 9.5) 0.166318 0.852802
(-51, 11) (-52, 6.5) 0.885909 0.678549
(-51, 11) (-52, 9.5) 0.667646 0.90695
(-51, 11) (-51.5, 6.5) 1 0.602661
(-51, 11) (-51.5, 9.5) 0.815589 0.872514
(-51, 12) (-52.5, 7.5) 0.673892 0.542313
(-51, 12) (-52.5, 8) 0.72491 0.919585
(-51, 12) (-52.5, 8.5) 0.9024 1
(-51, 12) (-52.5, 9.5) 0.905484 1
(-51, 12) (-52.5, 10) 0.737162 1
(-51, 12) (-52, 7.5) 0.879929 0.717931
(-51, 12) (-52, 10.5) 0.658918 0.877451
(-51, 12) (-51.5, 7.5) 0.924118 0.7046
(-51, 12) (-51.5, 10.5) 0.813074 0.869767
(-51, 13) (-52.5, 5.5) 1 0.3951
(-51, 13) (-52.5, 6) 1 0.908357
(-51, 13) (-52.5, 8) 0.915509 1
(-51, 13) (-52.5, 8.5) 0.654018 1
(-51, 13) (-52.5, 9) 0.71553 0.902705
(-51, 13) (-52.5, 9.5) 0.897517 1
(-51, 13) (-52, 5.5) 1 0.362008
(-51, 13) (-52, 6) 1 0.898805
(-51, 13) (-52, 8.5) 0.874204 1
(-51, 13) (-51.5, 6) 1 0.77729
(-51, 13) (-51.5, 8.5) 0.923183 0.869836
(-51, 13) (-51.5, 11.5) 0.810755 0.864283
(-51, 14) (-52.5, 6.5) 1 0.415973
(-51, 14) (-52.5, 7) 1 0.908843
(-51, 14) (-52.5, 9) 0.908283 1
(-51, 14) (-52.5, 9.5) 0.635092 1
(-51, 14) (-52.5, 10) 0.70676 0.884149
