ball_pos goalie_pos tackle_prob_l tackle_prob_r 
(-52, 3) (-52.5, -1.5) 0.7909
(-52, 3) (-52.5, 1.5) 0.849164
(-52, 3) (-52.5, 2) 0.116342
(-52, 4) (-52.5, -0.5) 0.800723
(-52, 4) (-52.5, 2.5) 0.834215
(-52, 4) (-52.5, 3) 0.0557589
(-52, 5) (-52.5, 0.5) 0.800955
(-52, 5) (-52.5, 3.5) 0.822933
(-52, 5) (-52.5, 4) 0.013985
(-52, 6) (-52.5, -1.5) 0.622604
(-52, 6) (-52.5, 1.5) 0.92458
(-52, 6) (-52.5, 4.5) 0.814331
(-52, 7) (-52.5, -0.5) 0.626908
(-52, 7) (-52.5, 2.5) 0.921754
(-52, 7) (-52.5, 5.5) 0.807618
(-52, 8) (-52.5, 0.5) 0.626998
(-52, 8) (-52.5, 3.5) 0.918907
(-52, 8) (-52.5, 6.5) 0.802254
(-52, 9) (-52.5, -2) 0.160773
(-52, 9) (-52.5, -1.5) 0.859249
(-52, 9) (-52.5, 4.5) 0.916229
(-52, 9) (-52.5, 7.5) 0.797881
(-52, 10) (-52.5, -1) 0.164616
(-52, 10) (-52.5, -0.5) 0.859976
(-52, 10) (-52.5, 5.5) 0.913779
(-52, 10) (-52.5, 8.5) 0.794251
(-52, 11) (-52.5, -3) 0.72913
(-52, 11) (-52.5, 6.5) 0.911558
(-52, 11) (-52.5, 9.5) 0.791192
(-52, 12) (-52.5, -2) 0.730634
(-52, 12) (-52.5, 7.5) 0.909554
(-52, 13) (-52.5, -1) 0.731337
(-52, 13) (-52.5, 8.5) 0.907744
(-52, 14) (-52.5, -3.5) 0.41746
(-52, 14) (-52.5, -3) 0.914386
(-52, 14) (-52.5, 9.5) 0.906106
(-52, 15) (-52.5, -2.5) 0.418957
(-52, 15) (-52.5, -2) 0.914673
(-52, 16) (-52.5, -4.5) 0.68392
(-52, 17) (-52.5, -3.5) 0.684716
(-52, 18) (-52.5, -5.5) 0.747049
(-52, 19) (-52.5, -4.5) 0.747609
(-52, 20) (-52.5, -6.5) 0.686426
(-51, 3) (-52.5, -1.5) 0.425344
(-51, 3) (-52.5, -1) 0.914986
(-51, 3) (-52.5, 2) 0.635043
(-51, 3) (-52, -1.5) 0.376516
(-51, 3) (-52, -1) 0.900994
(-51, 3) (-52, 2) 0.598806
(-51, 3) (-51.5, -1) 0.772431
(-51, 3) (-51.5, 1.5) 0.85353
(-51, 3) (-51.5, 2) 0.30579
(-51, 4) (-52.5, -0.5) 0.552741
(-51, 4) (-52.5, 2.5) 0.890626
(-51, 4) (-52.5, 3) 0.346077
(-51, 4) (-52, -0.5) 0.633564
(-51, 4) (-52, 2.5) 0.921005
(-51, 4) (-52, 3) 0.451007
(-51, 4) (-51.5, -0.5) 0.504268
(-51, 4) (-51.5, 0) 0.919835
(-51, 4) (-51.5, 2.5) 0.871276
